Date,Sales,Revenue,Customers
2022-03-20,590,3326.922859849039,82
2022-03-21,172,4389.230189353747,50
2022-03-22,616,9019.49597837763,54
2022-03-23,165,8475.96658196465,67
2022-03-24,130,1603.7576778643029,73
2022-03-25,442,6375.5212642693805,54
2022-03-26,415,3166.78158695109,55
2022-03-27,411,7165.505143195751,86
2022-03-28,524,1665.1008305040773,98
2022-03-29,766,7015.239386469334,40
2022-03-30,930,2994.650531994859,80
2022-03-31,690,9220.714995965704,91
2022-04-01,132,4987.827727619125,63
2022-04-02,622,7961.9300467869,21
2022-04-03,183,6508.338119670699,47
2022-04-04,785,7311.017478246652,73
2022-04-05,901,6559.30384210264,52
2022-04-06,144,4299.34582685589,23
2022-04-07,495,2885.443823536836,96
2022-04-08,347,3946.7971590202183,37
2022-04-09,411,5974.721314970531,46
2022-04-10,617,6122.4023610765435,24
2022-04-11,313,3079.320536684234,39
2022-04-12,129,9531.551723799477,14
2022-04-13,569,8597.421533934776,4
2022-04-14,947,3862.0864098528345,63
2022-04-15,746,1159.246680281607,65
2022-04-16,447,5910.908169568182,61
2022-04-17,191,8107.398590660955,73
2022-04-18,576,4540.136928065231,55
2022-04-19,440,8574.599148610487,48
2022-04-20,905,1957.8816338904821,74
2022-04-21,633,5282.618138313469,58
2022-04-22,791,3325.9022285724463,88
2022-04-23,910,3710.309807917734,46
2022-04-24,661,5991.892476134478,6
2022-04-25,223,1596.5072907549597,90
2022-04-26,190,9364.756759991065,74
2022-04-27,528,5713.535566795002,73
2022-04-28,172,6400.331078113073,15
2022-04-29,604,3650.4986674401985,36
2022-04-30,666,2589.4769128950757,68
2022-05-01,718,5478.599352282073,7
2022-05-02,758,9638.682518000483,99
2022-05-03,239,6676.712161588348,10
2022-05-04,521,1546.2192792855162,58
2022-05-05,942,6077.822178897252,95
2022-05-06,319,6921.499657585892,16
2022-05-07,209,1217.4097749995722,76
2022-05-08,597,2227.690603828926,13
2022-05-09,360,4788.568885689492,21
2022-05-10,862,2648.225107901993,22
2022-05-11,309,5241.0831020168835,40
2022-05-12,916,8826.209205746156,79
2022-05-13,575,8799.178345064505,26
2022-05-14,407,8334.604668516662,53
2022-05-15,861,4465.194292440906,88
2022-05-16,460,2692.8174664945827,62
2022-05-17,360,1827.8206997139973,62
2022-05-18,263,8416.477773663282,92
2022-05-19,320,6189.01315576536,7
2022-05-20,531,3956.1288894040404,53
2022-05-21,970,6799.380660960339,6
2022-05-22,185,4241.723495567825,20
2022-05-23,491,9485.88207815165,91
2022-05-24,965,8039.525197467719,27
2022-05-25,874,2031.9164305242318,72
2022-05-26,359,8059.247455407418,76
2022-05-27,136,6312.429801354088,24
2022-05-28,800,8905.189810305252,4
2022-05-29,220,2280.782262719661,50
2022-05-30,593,9489.243150980064,1
2022-05-31,551,5269.264247497612,88
2022-06-01,669,4308.399709991707,6
2022-06-02,214,6649.165916778148,13
2022-06-03,705,1261.7156962160207,74
2022-06-04,587,1808.049733654796,89
2022-06-05,754,2789.3957777491214,61
2022-06-06,809,3341.2511041455414,53
2022-06-07,934,5396.879251251053,20
2022-06-08,926,8913.92461257337,23
2022-06-09,853,7136.432982258624,71
2022-06-10,842,4559.181422796684,85
2022-06-11,153,8432.583405639565,70
2022-06-12,478,3108.3170895685553,7
2022-06-13,378,9954.88772658442,11
2022-06-14,302,8728.299903953462,4
2022-06-15,648,1296.9529864073224,17
2022-06-16,861,4222.680220503726,61
2022-06-17,975,8787.122756138939,63
2022-06-18,314,8819.375812271877,99
2022-06-19,306,1286.1989022560379,53
2022-06-20,620,5386.379999870641,50
2022-06-21,102,8702.929446737358,90
2022-06-22,540,1199.5967735929432,49
2022-06-23,903,3134.5049361011556,66
2022-06-24,487,4773.636195947964,33
2022-06-25,583,5058.535272067969,13
2022-06-26,256,2354.354747877017,12
2022-06-27,333,6510.86622182645,31
2022-06-28,508,6746.242643072684,87
2022-06-29,453,5571.860448290445,55
2022-06-30,242,4925.824452379553,59
2022-07-01,502,9592.255843234616,92
2022-07-02,927,4437.433632333332,87
2022-07-03,215,7757.724800747854,31
2022-07-04,837,8702.206511031774,6
2022-07-05,991,4897.582542759365,81
2022-07-06,266,2378.148797648947,88
2022-07-07,782,7321.990600214729,3
2022-07-08,491,6851.011821537118,81
2022-07-09,986,7686.783528532487,64
2022-07-10,790,2866.2667812121567,52
2022-07-11,983,2015.9328317282418,30
2022-07-12,783,1456.9225098162296,78
2022-07-13,164,5740.453845922346,1
2022-07-14,732,1203.4741075604309,93
2022-07-15,770,7096.675181821577,77
2022-07-16,405,4375.184707771223,22
2022-07-17,357,8326.109878630015,98
2022-07-18,590,3335.317304546694,8
2022-07-19,918,5962.558408474263,44
2022-07-20,256,2220.737661199504,70
2022-07-21,100,1942.030833564261,41
2022-07-22,972,4997.064249352354,85
2022-07-23,754,2192.676063136996,87
2022-07-24,433,1814.3761344545408,34
2022-07-25,914,4028.0268601941157,69
2022-07-26,898,2204.368817402069,98
2022-07-27,639,2634.6624056180412,65
2022-07-28,947,8185.174035632743,93
2022-07-29,732,3454.4651200523476,72
2022-07-30,627,2725.3391000414845,94
2022-07-31,260,5854.753371220108,1
2022-08-01,203,6402.6566268680845,84
2022-08-02,327,2562.2910781708747,41
2022-08-03,465,4667.393942869838,77
2022-08-04,604,2845.7831877065337,88
2022-08-05,795,4913.963939768126,5
2022-08-06,438,9882.670603292989,93
2022-08-07,127,2802.9439075008368,30
2022-08-08,482,2720.989209063824,9
2022-08-09,263,6504.975583882992,21
2022-08-10,685,8212.138976821161,91
2022-08-11,839,1480.1977788439083,58
2022-08-12,626,7560.179226946394,52
2022-08-13,798,1943.2322162891755,5
2022-08-14,329,3511.0159757037063,50
2022-08-15,367,3040.6271015059347,32
2022-08-16,909,7892.135476112615,84
2022-08-17,859,1272.7131983430625,42
2022-08-18,848,4863.0274794623965,96
2022-08-19,620,1674.3606726395544,2
2022-08-20,855,7066.096266522423,40
2022-08-21,882,7812.320487164624,18
2022-08-22,489,8776.840268784701,89
2022-08-23,561,3971.006717541877,66
2022-08-24,886,7180.144110845439,21
2022-08-25,561,6644.935249846874,54
2022-08-26,281,3051.6733860291606,92
2022-08-27,730,6759.753022291357,89
2022-08-28,402,3010.392681782876,83
2022-08-29,525,7686.512531283352,45
2022-08-30,120,9899.059948197246,92
2022-08-31,306,3275.8687208626097,14
2022-09-01,670,9699.692757620474,10
2022-09-02,715,6777.11417628028,44
2022-09-03,785,5411.645932038804,33
2022-09-04,172,5274.202196719726,25
2022-09-05,698,8348.446374947798,61
2022-09-06,187,4438.522164225782,98
2022-09-07,433,2141.0222263884925,74
2022-09-08,779,9824.224926997458,28
2022-09-09,841,5401.878688943142,36
2022-09-10,151,6457.611695456405,32
2022-09-11,150,4163.44049248427,30
2022-09-12,839,5799.643868744112,38
2022-09-13,462,9567.115627733607,7
2022-09-14,269,6911.417497885127,50
2022-09-15,628,5368.737869749602,45
2022-09-16,904,7127.528576427629,8
2022-09-17,369,2378.7132800779655,83
2022-09-18,552,6972.935569695817,47
2022-09-19,497,6511.863999013928,62
2022-09-20,797,3702.827367117386,98
2022-09-21,727,7586.839262619984,48
2022-09-22,665,5770.841986487804,80
2022-09-23,714,8218.124140755854,3
2022-09-24,657,4463.060867209123,68
2022-09-25,662,2602.7011806505416,6
2022-09-26,281,2321.5502834004446,92
2022-09-27,983,4407.79241650157,73
2022-09-28,448,6140.196604979355,18
2022-09-29,562,3825.3554502229763,66
2022-09-30,474,5391.148689497881,10
2022-10-01,784,1025.218276045793,55
2022-10-02,460,6802.749779582864,35
2022-10-03,565,2026.0323878424867,22
2022-10-04,893,3227.65619427136,16
2022-10-05,436,7563.642843580982,64
2022-10-06,659,8001.315734900501,36
2022-10-07,766,4882.428752612362,18
2022-10-08,379,2990.6640495069096,35
2022-10-09,512,9941.80294267278,21
2022-10-10,347,3693.7709327227044,85
2022-10-11,350,8250.200788129976,60
2022-10-12,822,9300.605858247445,17
2022-10-13,144,4213.469691862127,89
2022-10-14,902,8787.191834728455,81
2022-10-15,974,1345.878996396869,23
2022-10-16,882,9432.353046672606,47
2022-10-17,815,4326.087927933019,65
2022-10-18,385,9988.618248447281,70
2022-10-19,846,7575.8879711106,59
2022-10-20,680,2414.895140031411,83
2022-10-21,328,7804.547229833954,63
2022-10-22,912,6528.316225119194,44
2022-10-23,741,7050.502526655421,67
2022-10-24,384,4946.676218771249,16
2022-10-25,726,3354.614704135433,41
2022-10-26,962,6379.563702425914,10
2022-10-27,389,9673.537302605977,68
2022-10-28,203,5022.149634393851,51
2022-10-29,160,6703.197218015617,77
2022-10-30,478,6868.4701346575785,21
2022-10-31,684,5817.072067942767,86
2022-11-01,180,2820.6720852090284,61
2022-11-02,184,7239.972678314555,42
2022-11-03,497,6925.8274467003575,41
2022-11-04,584,5807.392028178395,29
2022-11-05,363,6272.301932654379,92
2022-11-06,810,4097.933558021814,54
2022-11-07,683,3048.261378485357,15
2022-11-08,130,7743.407481445596,14
2022-11-09,916,5585.329088596045,7
2022-11-10,506,3360.1261696232523,28
2022-11-11,273,6338.066577019019,9
2022-11-12,758,5805.891591787482,89
2022-11-13,103,1232.2034051762394,26
2022-11-14,896,1202.9458325764094,63
2022-11-15,359,8818.786507933106,91
2022-11-16,413,8382.884409527056,61
2022-11-17,911,7979.396849101943,96
2022-11-18,213,6913.725337643867,51
2022-11-19,690,9991.887373328267,33
2022-11-20,780,5294.482276989879,81
2022-11-21,424,7106.557416058685,84
2022-11-22,236,1940.4907933494824,16
2022-11-23,128,9760.764974545094,4
2022-11-24,451,3493.9128460755405,65
2022-11-25,873,8637.594866831289,3
2022-11-26,518,1755.1289600739788,3
2022-11-27,449,2931.104160557138,95
2022-11-28,997,9540.90060043079,58
2022-11-29,415,6626.841338881371,69
2022-11-30,512,7897.458066170096,76
2022-12-01,480,1633.4644527771152,38
2022-12-02,744,7723.991801314905,83
2022-12-03,355,1294.3827982602177,67
2022-12-04,847,9390.37043900301,59
2022-12-05,882,4952.100539264107,64
2022-12-06,634,3251.720949048478,25
2022-12-07,818,5808.351390810515,91
2022-12-08,925,2289.494407868015,84
2022-12-09,502,6079.099599152201,94
2022-12-10,265,1120.110495629448,97
2022-12-11,887,6737.002112626999,95
2022-12-12,850,3795.8663822659046,76
2022-12-13,523,4051.3656393018414,84
2022-12-14,222,6938.921999612695,47
2022-12-15,992,5436.673143614277,11
2022-12-16,225,2363.4576938557566,1
2022-12-17,902,5365.370345300036,11
2022-12-18,603,6123.003320088595,95
2022-12-19,576,1105.7157288808457,33
2022-12-20,584,5366.194772619636,85
2022-12-21,111,7661.025234698841,71
2022-12-22,682,3125.674555932675,9
2022-12-23,826,1540.6792535841669,91
2022-12-24,492,9241.671954666583,27
2022-12-25,179,2188.115869194516,42
2022-12-26,288,7648.596623785947,74
2022-12-27,899,3447.992144546027,82
2022-12-28,374,2159.9166509825363,41
2022-12-29,955,4548.317004232871,88
2022-12-30,830,6020.811111576885,23
2022-12-31,200,4849.488930167057,73
2023-01-01,635,4638.3006964535725,19
2023-01-02,181,9814.841158758405,84
2023-01-03,515,1296.7326671473265,35
2023-01-04,505,1082.7846921970856,66
2023-01-05,680,7233.65286874928,67
2023-01-06,443,5011.034874804444,76
2023-01-07,618,8101.659484576645,8
2023-01-08,351,1744.6024384118814,14
2023-01-09,618,9706.268564924498,16
2023-01-10,579,5738.4388489116845,72
2023-01-11,725,9857.301898708098,47
2023-01-12,820,1872.4945637297997,30
2023-01-13,381,5023.562764875342,84
2023-01-14,612,3967.507137961919,59
2023-01-15,285,9356.238138883775,33
2023-01-16,186,2349.21935688367,96
2023-01-17,834,8976.065176461685,72
2023-01-18,481,5865.6617659533385,64
2023-01-19,884,5096.971411112557,88
2023-01-20,342,1422.9452969624426,62
2023-01-21,243,6296.544483839555,81
2023-01-22,703,5231.489059978764,79
2023-01-23,995,5485.921802700898,58
2023-01-24,153,8498.897013260423,48
2023-01-25,646,5971.69548404191,24
2023-01-26,786,8521.011289389624,62
2023-01-27,736,6873.49376855091,85
2023-01-28,325,1400.0743410638465,30
2023-01-29,273,4652.869637354619,52
2023-01-30,353,2181.5028285228414,74
2023-01-31,754,4473.478121798169,78
2023-02-01,484,6888.136405338043,48
2023-02-02,222,8907.62321559657,46
2023-02-03,390,4927.976913307877,72
2023-02-04,732,7718.059131139035,22
2023-02-05,148,4899.148090346947,91
2023-02-06,955,1573.9603500925073,14
2023-02-07,190,9322.2912744492,37
2023-02-08,243,8970.870245014885,64
2023-02-09,119,1310.6925584466417,53
2023-02-10,619,9635.476097065426,7
2023-02-11,961,6521.880118623665,50
2023-02-12,122,2992.9696901137813,55
2023-02-13,909,7542.611436484736,55
2023-02-14,253,3409.735114277175,82
2023-02-15,832,8898.01102237268,43
2023-02-16,518,1026.746511354352,19
2023-02-17,655,7121.233924248507,61
2023-02-18,739,5667.773322489692,93
2023-02-19,450,5365.807519744183,82
2023-02-20,358,5745.946551427426,26
2023-02-21,331,2510.1218055687496,91
2023-02-22,169,1155.3146561920703,56
2023-02-23,668,5920.940799202589,75
2023-02-24,919,4044.682297504153,68
2023-02-25,988,7620.090171496746,40
2023-02-26,609,6464.900775866619,7
2023-02-27,758,3722.784591339588,67
2023-02-28,806,5232.720096420562,36
2023-03-01,170,2554.3835657737754,87
2023-03-02,202,9755.286620562874,67
2023-03-03,978,7873.219085572016,29
2023-03-04,895,2457.917471585294,26
2023-03-05,184,9425.229539325645,2
2023-03-06,398,7434.269217761685,69
2023-03-07,713,9042.306071015924,55
2023-03-08,594,8622.21687517143,58
2023-03-09,419,2373.5420037111326,97
2023-03-10,509,6367.017731023577,22
2023-03-11,597,8652.992108109209,33
2023-03-12,822,7902.2740872079785,79
2023-03-13,315,4689.11310511014,8
2023-03-14,732,2918.5736781221067,49
2023-03-15,136,9967.155061343597,80
2023-03-16,155,3358.0146556754426,15
2023-03-17,768,1593.8661728027255,25
2023-03-18,975,1294.3060812695985,9
2023-03-19,609,7153.39322182716,12
2023-03-20,281,1419.9087250006,16
2023-03-21,253,8890.090765590814,14
2023-03-22,383,1277.3420125627458,53
2023-03-23,414,4311.972674435783,70
2023-03-24,588,7672.347680154554,92
2023-03-25,771,7154.240523855838,94
2023-03-26,145,5915.236420059075,59
2023-03-27,665,8755.680052444211,32
2023-03-28,873,1689.9996667535825,6
2023-03-29,248,2549.210224644161,7
2023-03-30,339,4655.980716001075,93
2023-03-31,492,6674.034827925348,85
2023-04-01,170,8798.569875950529,72
2023-04-02,969,3373.036735700759,48
2023-04-03,395,8761.413167893661,21
2023-04-04,821,4037.001527564088,98
2023-04-05,389,1333.2657285497435,98
2023-04-06,472,1014.362229529711,94
2023-04-07,652,6760.696230595291,30
2023-04-08,120,5509.063755791418,22
2023-04-09,358,3162.6340443271733,5
2023-04-10,934,8333.48689578722,17
2023-04-11,651,6280.824089946721,25
2023-04-12,569,7294.096026535949,3
2023-04-13,859,8335.863575158983,26
2023-04-14,575,4828.54858308032,58
2023-04-15,709,1054.0749303743862,14
2023-04-16,816,5864.275921654743,31
2023-04-17,688,3764.622355370354,20
2023-04-18,813,6868.497791538313,88
2023-04-19,988,1270.111324399304,14
2023-04-20,441,1051.4578240716528,15
2023-04-21,428,9152.18378901912,22
2023-04-22,584,5717.694723490626,1
2023-04-23,751,6731.7489761398665,90
2023-04-24,243,6493.6197400185865,3
2023-04-25,740,7338.117534892247,64
2023-04-26,251,6734.182980502249,83
2023-04-27,338,5821.695255575053,69
2023-04-28,788,6835.414978433677,35
2023-04-29,625,4865.014178923642,34
2023-04-30,456,4768.239008196066,47
2023-05-01,114,1623.5678342982085,7
2023-05-02,131,4113.769728661919,47
2023-05-03,375,4757.317134451587,41
2023-05-04,132,2952.375870745448,21
2023-05-05,630,7575.210058321204,50
2023-05-06,516,3594.0333172786254,94
2023-05-07,226,1692.5121444378537,44
2023-05-08,909,9051.63920106609,59
2023-05-09,107,4206.337814298242,90
2023-05-10,383,6628.492796054033,6
2023-05-11,517,8541.171254762314,82
2023-05-12,728,1380.8829836599314,70
2023-05-13,631,8978.132764470341,4
2023-05-14,951,2450.753444331581,32
2023-05-15,498,6668.248375682172,41
2023-05-16,529,3898.1707840114414,81
2023-05-17,484,5262.953459634506,20
2023-05-18,874,1567.6637644748698,6
2023-05-19,860,1897.614136312328,51
2023-05-20,487,2235.7502977642334,7
2023-05-21,332,2281.2446514659805,28
2023-05-22,594,4737.907303848288,48
2023-05-23,415,6070.876603267154,90
2023-05-24,474,7940.07215991179,10
2023-05-25,307,3068.4928238952334,22
2023-05-26,950,3182.1029371106756,42
2023-05-27,944,8590.669543243079,10
2023-05-28,609,3550.5387452702003,25
2023-05-29,255,3828.2185948538217,3
2023-05-30,481,9630.829746417488,60
2023-05-31,914,5343.590349669599,26
2023-06-01,738,3333.5009707800377,86
2023-06-02,412,8079.276981001564,75
2023-06-03,661,2391.277422419628,86
2023-06-04,816,6236.803785558243,19
2023-06-05,247,8782.06562403675,26
2023-06-06,351,2593.392303471901,92
2023-06-07,870,9014.591422536429,23
2023-06-08,683,4704.707154426968,22
2023-06-09,390,9303.266955293206,53
2023-06-10,106,9351.135200041299,53
2023-06-11,208,2045.015329934833,32
2023-06-12,714,6470.491991687886,79
2023-06-13,409,5037.727521147578,97
2023-06-14,849,1419.9374667176094,70
2023-06-15,253,7967.531739799474,91
2023-06-16,990,4428.937639103382,12
2023-06-17,531,1452.7619641716349,35
2023-06-18,529,6979.209325156031,29
2023-06-19,670,4261.779698948902,37
2023-06-20,789,3517.483757864657,46
2023-06-21,575,6910.882067667673,11
2023-06-22,600,7250.462170155078,10
2023-06-23,611,2590.798646593752,61
2023-06-24,195,1186.4844532642321,30
2023-06-25,424,7488.935766091581,40
2023-06-26,114,2780.515241661165,88
2023-06-27,465,9738.852874771965,33
2023-06-28,322,6805.477379398469,30
2023-06-29,659,9863.872243716269,85
2023-06-30,232,7155.461791247134,76
2023-07-01,101,7493.1420402940985,91
2023-07-02,737,3820.04161384624,76
2023-07-03,267,2075.0773864559524,67
2023-07-04,992,8803.666984325719,4
2023-07-05,763,6214.600000643534,58
2023-07-06,697,9666.02536076642,86
2023-07-07,553,2841.5645934401205,14
2023-07-08,548,8599.622744981723,23
2023-07-09,461,5645.78527205175,96
2023-07-10,678,7308.190983382443,36
2023-07-11,938,5672.633239936736,56
2023-07-12,256,5501.84070237409,45
2023-07-13,187,7042.031725674146,83
2023-07-14,681,5812.664369953814,44
2023-07-15,987,8365.15767879687,35
2023-07-16,623,8158.178497832771,53
2023-07-17,786,8509.718600654296,71
2023-07-18,679,1834.4045330334325,84
2023-07-19,213,3937.2228724950155,8
2023-07-20,981,6002.0977871638015,59
2023-07-21,181,2310.0184767293676,72
2023-07-22,935,7574.526210368653,12
2023-07-23,320,4895.888349480464,80
2023-07-24,616,9900.14137107283,39
2023-07-25,788,8892.750563670885,12
2023-07-26,941,8153.425830666416,49
2023-07-27,451,5568.016920700813,54
2023-07-28,520,4659.499486423423,79
2023-07-29,442,2897.7765414607766,10
2023-07-30,546,3806.281467402626,12
2023-07-31,379,3362.330013439691,43
2023-08-01,627,3522.7286000870854,28
2023-08-02,182,5629.588537977334,63
2023-08-03,547,1861.3769712079825,25
2023-08-04,371,7819.563373620852,49
2023-08-05,379,8631.922312852472,48
2023-08-06,479,2873.7127501005325,47
2023-08-07,336,6244.334133496792,6
2023-08-08,716,7920.928343328266,95
2023-08-09,272,1542.082558481302,58
2023-08-10,800,3297.6449291112026,92
2023-08-11,680,7469.297949237978,54
2023-08-12,393,4138.994852950947,89
2023-08-13,158,7436.760072342001,60
2023-08-14,703,7771.046535345242,42
2023-08-15,309,8939.578635788755,42
2023-08-16,818,5301.313017469696,6
2023-08-17,317,8796.017517474305,94
2023-08-18,334,6822.304148183987,38
2023-08-19,487,5694.726485563253,40
2023-08-20,719,7791.65218591305,53
2023-08-21,923,4017.5210438590425,11
2023-08-22,423,2949.2435391268127,98
2023-08-23,239,5056.754958959877,78
2023-08-24,699,1640.3175252083497,68
2023-08-25,928,7910.541464498206,32
2023-08-26,747,9025.517654604537,71
2023-08-27,108,9903.25622213258,37
2023-08-28,275,5668.63060885196,43
2023-08-29,964,8056.166156351564,37
2023-08-30,565,6063.13087288205,42
2023-08-31,198,6113.901875929721,7
2023-09-01,367,6683.07554971414,57
2023-09-02,184,8048.8335139277315,50
2023-09-03,657,8885.296993525506,37
2023-09-04,356,9875.00548725168,25
2023-09-05,896,7589.180315298291,79
2023-09-06,225,5348.090169651137,98
2023-09-07,373,6065.352984178283,5
2023-09-08,952,1449.9562910740199,62
2023-09-09,214,5280.942754972353,78
2023-09-10,355,9648.686769092472,50
2023-09-11,938,3056.042227420723,46
2023-09-12,778,7490.505649432333,81
2023-09-13,868,3570.8044833049116,44
2023-09-14,355,1941.0394880181261,58
2023-09-15,729,4105.734509420781,97
2023-09-16,817,8563.222788168534,75
2023-09-17,925,2564.691017873917,72
2023-09-18,473,7234.946581483453,78
2023-09-19,687,5159.489286566819,92
2023-09-20,988,3301.7830787811563,95
2023-09-21,539,7501.7689564508355,23
2023-09-22,681,2942.430389714289,43
2023-09-23,780,4446.539712469787,2
2023-09-24,165,9448.716280352115,88
2023-09-25,333,7633.0586351401025,98
2023-09-26,456,5810.456743586583,93
2023-09-27,283,3651.9063578869577,12
2023-09-28,133,8915.062870612483,79
2023-09-29,442,6540.112811423726,55
2023-09-30,175,5098.752511396182,96
2023-10-01,896,1629.377998733547,50
2023-10-02,307,4449.376282493737,48
2023-10-03,329,5499.163038232473,61
2023-10-04,990,7719.744093976501,62
2023-10-05,188,5452.7029964861495,29
2023-10-06,511,3628.145375877942,46
2023-10-07,104,1447.9808569905217,79
2023-10-08,768,9336.465122417425,28
2023-10-09,233,8310.761646161072,12
2023-10-10,442,5607.778070885864,33
2023-10-11,127,3958.0512372253243,84
2023-10-12,275,8282.80392341662,70
2023-10-13,415,7825.759106057824,36
2023-10-14,977,7395.423683887282,8
2023-10-15,807,5476.473917717674,95
2023-10-16,237,8811.773159393586,50
2023-10-17,236,3646.693300522816,35
2023-10-18,192,3344.3700116066034,82
2023-10-19,718,7637.497613311966,23
2023-10-20,469,7530.067921254164,24
2023-10-21,113,2805.4532828879546,66
2023-10-22,220,7024.522081620799,58
2023-10-23,866,4614.409538555825,66
2023-10-24,748,4947.912807972585,2
2023-10-25,739,8097.450865133833,2
2023-10-26,457,8431.195638927617,29
2023-10-27,964,2950.593070686624,13
2023-10-28,522,9104.758176733292,56
2023-10-29,648,9928.00703400246,88
2023-10-30,556,4592.7768000642745,81
2023-10-31,122,1523.3415548015328,87
2023-11-01,914,7237.878597858403,21
2023-11-02,706,1236.0819714486083,32
2023-11-03,375,9926.865233820521,57
2023-11-04,629,1626.893034906599,12
2023-11-05,284,5766.262427932167,70
2023-11-06,887,3523.3736631716533,66
2023-11-07,162,1416.1639086041769,73
2023-11-08,201,5811.992333219898,88
2023-11-09,378,6886.134800578255,77
2023-11-10,280,5439.565477270283,10
2023-11-11,862,7555.03366709632,1
2023-11-12,542,2547.4175557287745,55
2023-11-13,793,5842.606788131465,94
2023-11-14,957,9336.108033912555,2
2023-11-15,319,9341.52879836545,4
2023-11-16,104,5733.910292973813,33
2023-11-17,288,9941.225307698547,79
2023-11-18,761,7000.448164685427,35
2023-11-19,298,7144.897738153842,96
2023-11-20,577,1181.9145964648465,18
2023-11-21,375,8796.99173383151,24
2023-11-22,183,5302.173078007934,3
2023-11-23,332,7922.241830456508,61
2023-11-24,588,1071.5683352456028,14
2023-11-25,841,6056.7498542266,37
2023-11-26,826,5552.391621907428,59
2023-11-27,507,2947.8165239557484,32
2023-11-28,859,9181.432043213481,9
2023-11-29,240,8581.33813941944,19
2023-11-30,356,5713.059723777448,45
2023-12-01,810,8801.963392972153,13
2023-12-02,297,1044.4465420743247,69
2023-12-03,818,9219.189322854467,8
2023-12-04,935,1533.4759868350125,53
2023-12-05,509,9217.561640671993,51
2023-12-06,599,7151.730852263219,54
2023-12-07,389,6786.789767100688,66
2023-12-08,643,3564.4100319169315,25
2023-12-09,657,9255.34559754894,8
2023-12-10,722,5190.128091948343,1
2023-12-11,102,3571.2928632179173,29
2023-12-12,978,7149.0740123424475,50
2023-12-13,823,7493.729827775925,47
2023-12-14,416,3304.270122596116,23
2023-12-15,649,8382.090640741606,52
2023-12-16,326,8960.114954535165,62
2023-12-17,231,7227.587980114034,41
2023-12-18,491,3316.440084113252,17
2023-12-19,308,8076.936385901936,11
2023-12-20,634,6099.963226898478,82
2023-12-21,454,8222.29872132673,57
2023-12-22,699,6913.575188080913,40
2023-12-23,924,1936.1251387282275,47
2023-12-24,362,6451.584665749793,67
2023-12-25,411,1431.120621657732,89
2023-12-26,107,6367.48163436358,46
2023-12-27,735,2915.703695640631,4
